,Name,Team,Season,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
135,Jerick McKinnon,KC,2021,RB,13,12,62,5.2,18,0,0,4.8,0,0,2
136,Kene Nwangwu,MIN,2021,RB,11,13,61,4.7,19,0,0,5.5,0,0,3
137,Amon-Ra St. Brown,DET,2021,WR,17,7,61,8.7,26,1,1,3.6,0,0,2
138,Dee Eskridge,SEA,2021,WR,10,4,59,14.8,30,1,0,5.9,0,0,2
139,Mason Rudolph,PIT,2021,QB,2,5,53,10.6,26,1,0,26.5,0,0,3
140,Drew Lock,DEN,2021,QB,6,10,53,5.3,23,1,2,8.8,1,1,5
141,Diontae Johnson,PIT,2021,WR,16,5,53,10.6,25,1,0,3.3,0,0,2
142,Jimmy Garoppolo,SF,2021,QB,15,38,51,1.3,7,0,3,3.4,4,1,15
143,Trayveon Williams,CIN,2021,RB,5,15,51,3.4,10,0,0,10.2,0,0,4
144,Jason Huntley,PHI,2021,RB,1,13,51,3.9,18,0,0,51.0,0,0,2
145,Devin Duvernay,BAL,2021,WR,16,7,50,7.1,19,0,0,3.1,0,0,3
146,DJ Moore,CAR,2021,WR,17,8,48,6.0,14,0,0,2.8,0,0,4
147,Isaiah McKenzie,BUF,2021,WR,15,9,47,5.2,10,0,1,3.1,0,0,5
148,Mecole Hardman,KC,2021,WR,17,8,46,5.8,24,1,0,2.7,1,1,2
149,Ty Montgomery I,INO,2021,WR,14,15,44,2.9,9,0,0,3.1,0,0,2
